Date,Close,Open,High,Low
"Jun 01, 2015",1.0928,1.0989,1.0991,1.0888
"Jun 02, 2015",1.1155,1.0928,1.1193,1.0915
"Jun 03, 2015",1.1275,1.1151,1.1284,1.1079
"Jun 04, 2015",1.1239,1.1276,1.1381,1.1227
"Jun 05, 2015",1.1113,1.1239,1.1281,1.105
"Jun 08, 2015",1.1292,1.1113,1.1307,1.108
"Jun 09, 2015",1.1284,1.1292,1.1345,1.1214
"Jun 10, 2015",1.1326,1.1286,1.1387,1.1261
"Jun 11, 2015",1.1258,1.1325,1.1332,1.1183
"Jun 12, 2015",1.1269,1.1258,1.1298,1.1151
"Jun 15, 2015",1.1284,1.1225,1.1294,1.1189
"Jun 16, 2015",1.1248,1.1283,1.1331,1.1206
"Jun 17, 2015",1.1337,1.1249,1.136,1.1213
"Jun 18, 2015",1.136,1.1337,1.1438,1.1331
"Jun 19, 2015",1.1353,1.136,1.1393,1.1292
"Jun 22, 2015",1.1341,1.1363,1.1411,1.1312
"Jun 23, 2015",1.117,1.1341,1.1348,1.1135
"Jun 24, 2015",1.1207,1.1171,1.1237,1.1156
"Jun 25, 2015",1.1204,1.1204,1.1227,1.1153
"Jun 26, 2015",1.1166,1.1207,1.1221,1.1131
"Jun 29, 2015",1.1236,1.1031,1.1279,1.0954
"Jun 30, 2015",1.1138,1.1237,1.1246,1.1114
"Jul 01, 2015",1.1054,1.1139,1.1172,1.1042
"Jul 02, 2015",1.1084,1.1054,1.1124,1.1031
"Jul 03, 2015",1.1114,1.1086,1.1119,1.1066
"Jul 06, 2015",1.1057,1.0993,1.1097,1.0969
"Jul 07, 2015",1.1012,1.1056,1.1061,1.0917
"Jul 08, 2015",1.1077,1.1012,1.1094,1.0974
"Jul 09, 2015",1.1038,1.1078,1.1126,1.0992
"Jul 10, 2015",1.1164,1.1037,1.1218,1.1031
"Jul 13, 2015",1.1004,1.1107,1.1197,1.0995
"Jul 14, 2015",1.1012,1.1004,1.1084,1.0966
"Jul 15, 2015",1.0949,1.101,1.1035,1.093
"Jul 16, 2015",1.0875,1.0947,1.0964,1.0856
"Jul 17, 2015",1.0829,1.0875,1.0907,1.0827
"Jul 20, 2015",1.0827,1.0833,1.0872,1.081
"Jul 21, 2015",1.0937,1.0825,1.097,1.0811
"Jul 22, 2015",1.0934,1.0936,1.0966,1.0869
