Date,Close,Open,High,Low
"Jun 03, 2019",7333.02,7441.22,7457.66,7292.22
"Jun 04, 2019",7527.12,7413.94,7529.5,7385.02
"Jun 05, 2019",7575.48,7585.68,7589.47,7498.17
"Jun 06, 2019",7615.55,7582.24,7634.12,7546.22
"Jun 07, 2019",7742.1,7652.97,7767.02,7647.91
"Jun 10, 2019",7823.17,7798.87,7895.44,7795.76
"Jun 11, 2019",7822.57,7901.04,7909.99,7798.63
"Jun 12, 2019",7792.72,7803.13,7819.16,7773.97
"Jun 13, 2019",7837.13,7822.56,7848.36,7813.6
"Jun 14, 2019",7796.66,7807.19,7819.21,7778.12
"Jun 17, 2019",7845.02,7819.43,7865.98,7812.61
"Jun 18, 2019",7953.88,7920.98,8005.21,7911.67
"Jun 19, 2019",7987.32,7970.26,7998.59,7930.38
"Jun 20, 2019",8051.34,8087.45,8088.88,7996.87
"Jun 21, 2019",8031.71,8028.69,8073.02,8011.2
"Jun 24, 2019",8005.7,8040.58,8047.56,8004.63
"Jun 25, 2019",7884.72,8005.27,8007.31,7879.15
"Jun 26, 2019",7909.97,7933.93,7974.28,7903.07
"Jun 27, 2019",7967.76,7939.36,7976.58,7935.47
"Jun 28, 2019",8006.24,7988.76,8010.15,7961.46
"Jul 01, 2019",8091.16,8145.85,8150.45,8059.29
"Jul 02, 2019",8109.09,8086.65,8109.37,8063.1
"Jul 03, 2019",8170.23,8129.57,8170.23,8122.34
"Jul 05, 2019",8161.79,8123.28,8171.97,8093.66
"Jul 08, 2019",8098.38,8112.91,8112.91,8078.39
"Jul 09, 2019",8141.73,8061.41,8146.98,8061.32
"Jul 10, 2019",8202.53,8183.19,8228.6,8160.56
"Jul 11, 2019",8196.04,8219.28,8226.18,8171.63
"Jul 12, 2019",8244.14,8209.2,8245.66,8201.52
"Jul 15, 2019",8258.18,8263.18,8264.78,8236.27
"Jul 16, 2019",8222.8,8251.66,8259.75,8204.23
"Jul 17, 2019",8185.21,8224,8230.67,8184.66
"Jul 18, 2019",8207.24,8151.76,8215.58,8135.12
"Jul 19, 2019",8146.49,8241.34,8245.78,8144.63
"Jul 22, 2019",8204.14,8171.99,8218.42,8171.54
"Jul 23, 2019",8251.4,8242.5,8251.83,8193.89
"Jul 24, 2019",8321.5,8227.36,8321.81,8226.5
"Jul 25, 2019",8238.54,8294.68,8295.95,8233.4
"Jul 26, 2019",8330.21,8294.3,8339.64,8291.12
"Jul 29, 2019",8293.33,8325.1,8325.28,8247.37
"Jul 30, 2019",8273.61,8231.77,8295.46,8228.02
"Jul 31, 2019",8175.42,8290.8,8299.83,8110.02
"Aug 01, 2019",8111.12,8190.56,8311.04,8080.52
"Aug 02, 2019",8004.07,8056.42,8068.8,7953.67
"Aug 05, 2019",7726.04,7823.33,7836.45,7662.9
"Aug 06, 2019",7833.27,7804.51,7845.01,7739.57
"Aug 07, 2019",7862.83,7747.27,7881.38,7702.42
"Aug 08, 2019",8039.16,7921.59,8041.12,7896.15
"Aug 09, 2019",7959.14,7997.19,8020.56,7910.35
"Aug 12, 2019",7863.41,7907.49,7924.99,7833.79
"Aug 13, 2019",8016.36,7863.41,8065.24,7851.58
"Aug 14, 2019",7773.94,7877.33,7900.28,7762.87
"Aug 15, 2019",7766.62,7790.2,7805.93,7716.55
"Aug 16, 2019",7895.99,7828.35,7907.52,7828.35
"Aug 19, 2019",8002.81,8006.18,8026.75,7974.36
"Aug 20, 2019",7948.56,7989.36,8010.58,7948.09
"Aug 21, 2019",8020.21,8017.07,8036.94,7998.5
"Aug 22, 2019",7991.39,8038.79,8048.58,7937.12
"Aug 23, 2019",7751.77,7943.65,8005.34,7730.77
"Aug 26, 2019",7853.73,7829.58,7856.04,7789.05
"Aug 27, 2019",7826.95,7908.78,7916.83,7795.18
"Aug 28, 2019",7856.88,7798.35,7866.87,7766.67
"Aug 29, 2019",7973.39,7945.78,7992.29,7925.83
"Aug 30, 2019",7962.88,8015.16,8017.91,7914.74
"Sep 03, 2019",7874.16,7906.44,7940.37,7847.32
"Sep 04, 2019",7976.88,7949.81,7981.41,7928.94
"Sep 05, 2019",8116.83,8061.29,8134.42,8061.29
"Sep 06, 2019",8103.07,8125.58,8134.39,8098.52
"Sep 09, 2019",8087.44,8130.91,8131.65,8052.35
"Sep 10, 2019",8084.15,8049.98,8086.53,8001.69
"Sep 11, 2019",8169.68,8091.68,8169.68,8081.56
"Sep 12, 2019",8194.47,8206.58,8243.8,8176.73
"Sep 13, 2019",8176.71,8190.57,8210.2,8165.47
"Sep 16, 2019",8153.54,8121.64,8165.32,8121.25
"Sep 17, 2019",8186.02,8148.65,8188.23,8139.82
"Sep 18, 2019",8177.39,8174.62,8179.87,8086.22
"Sep 19, 2019",8182.88,8193.59,8237.43,8174.32
"Sep 20, 2019",8117.67,8184.88,8202.82,8086.16
"Sep 23, 2019",8112.46,8106.49,8135.81,8085.34
"Sep 24, 2019",7993.63,8147.23,8158.84,7969.65
"Sep 25, 2019",8077.38,7990.66,8095,7935.57
"Sep 26, 2019",8030.66,8070.12,8072.11,7991.02
"Sep 27, 2019",7939.63,8047.11,8051.83,7890.28
"Sep 30, 2019",7999.33,7964.09,8012.16,7949.63
"Oct 01, 2019",7908.67,8026.83,8062.5,7906.29
"Oct 02, 2019",7785.23,7851.13,7852.7,7744.95
"Oct 03, 2019",7872.25,7787.02,7872.27,7700
"Oct 04, 2019",7982.46,7908.44,7986.62,7899.39
"Oct 07, 2019",7956.28,7956.41,8013.31,7942.08
"Oct 08, 2019",7823.76,7898.27,7921.88,7823.73
"Oct 09, 2019",7903.73,7895.96,7930.91,7873.52
"Oct 10, 2019",7950.77,7904.56,7982.85,7899.81
"Oct 11, 2019",8057.04,8047.34,8115.8,8046.8
"Oct 14, 2019",8048.65,8044.35,8069.85,8036.41
"Oct 15, 2019",8148.71,8074.85,8166.18,8071.81
"Oct 16, 2019",8124.18,8119.81,8146.15,8103.38
"Oct 17, 2019",8156.85,8176.91,8183.64,8131.25
"Oct 18, 2019",8089.54,8149.85,8157.36,8045.38
"Oct 21, 2019",8162.99,8137.42,8164.14,8117.26
"Oct 22, 2019",8104.3,8188.12,8194.62,8101.98
"Oct 23, 2019",8119.79,8090.24,8122.89,8078.35
"Oct 24, 2019",8185.8,8180.04,8187.84,8137.66
"Oct 25, 2019",8243.12,8150.59,8249.97,8150.59
"Oct 28, 2019",8325.99,8285.77,8335.56,8285.27
"Oct 29, 2019",8276.85,8313.35,8319.29,8275.14
"Oct 30, 2019",8303.98,8284.28,8315.5,8241.7
"Oct 31, 2019",8292.36,8314.38,8321.8,8248.81
"Nov 01, 2019",8386.4,8335.05,8386.75,8326.56
"Nov 04, 2019",8433.2,8445.5,8451.37,8421.3
"Nov 05, 2019",8434.68,8446.62,8457.39,8421.05
"Nov 06, 2019",8410.63,8426.57,8426.57,8379.33
"Nov 07, 2019",8434.52,8455.11,8483.16,8415.87
"Nov 08, 2019",8475.31,8422.67,8475.57,8405.89
"Nov 11, 2019",8464.28,8431.26,8467.29,8425.49
"Nov 12, 2019",8486.09,8471.07,8514.84,8462.99
"Nov 13, 2019",8482.1,8455.02,8496.9,8451.34
"Nov 14, 2019",8479.02,8461.06,8485.36,8441.58
"Nov 15, 2019",8540.83,8524.48,8540.83,8506.8
"Nov 18, 2019",8549.94,8529.16,8559.78,8503.62
"Nov 19, 2019",8570.66,8578.02,8589.76,8536.73
"Nov 20, 2019",8526.73,8543.57,8578.27,8468.63
"Nov 21, 2019",8506.21,8527.87,8530.73,8487.29
"Nov 22, 2019",8519.89,8530.54,8535.46,8477.49
"Nov 25, 2019",8632.49,8559.65,8633.15,8559.65
"Nov 26, 2019",8647.93,8635.4,8659.73,8625.62
"Nov 27, 2019",8705.17,8669.59,8705.91,8662.58
"Nov 29, 2019",8665.47,8682.01,8697.33,8664.03
"Dec 02, 2019",8567.99,8672.84,8672.84,8540.16
"Dec 03, 2019",8520.64,8460.72,8523.98,8435.4
"Dec 04, 2019",8566.67,8557.44,8584.88,8552.38
"Dec 05, 2019",8570.7,8587.93,8588.89,8541.92
"Dec 06, 2019",8656.53,8634.25,8665.44,8630.58
"Dec 09, 2019",8621.83,8650.86,8678.85,8619.77
"Dec 10, 2019",8616.18,8623.56,8650.76,8600.82
"Dec 11, 2019",8654.05,8631.12,8658.48,8622.35
"Dec 12, 2019",8717.32,8645.36,8745.82,8633.6
"Dec 13, 2019",8734.88,8713.91,8768.87,8697.58
"Dec 16, 2019",8814.23,8791.31,8833.45,8789.77
"Dec 17, 2019",8823.36,8829.47,8831.99,8804.6
"Dec 18, 2019",8827.74,8834.65,8848.76,8820.42
"Dec 19, 2019",8887.22,8838.97,8888.13,8838.97
"Dec 20, 2019",8924.95,8911.84,8931.91,8901.87
"Dec 23, 2019",8945.65,8950.2,8956.64,8934.55
"Dec 24, 2019",8952.88,8955.01,8957.12,8934.36
"Dec 26, 2019",9022.39,8970.21,9022.46,8968.45
"Dec 27, 2019",9006.62,9049.47,9052,8987.32
"Dec 30, 2019",8945.99,9004.45,9006.36,8909.19
"Dec 31, 2019",8972.6,8918.74,8975.35,8912.77
"Jan 02, 2020",9092.19,9039.46,9093.43,9010.89
"Jan 03, 2020",9020.77,8976.43,9065.76,8976.43
"Jan 06, 2020",9071.47,8943.5,9072.41,8943.5
"Jan 07, 2020",9068.58,9076.65,9091.93,9042.55
"Jan 08, 2020",9129.24,9068.03,9168.89,9059.38
"Jan 09, 2020",9203.43,9202.27,9215.95,9158.5
"Jan 10, 2020",9178.86,9232.94,9235.2,9164.66
"Jan 13, 2020",9273.93,9213.72,9274.49,9193.06
"Jan 14, 2020",9251.33,9270.61,9298.33,9226.49
"Jan 15, 2020",9258.69,9253.76,9298.82,9231.14
"Jan 16, 2020",9357.13,9313.44,9357.92,9301.32
