Date,Close,Open,High,Low
"Jun 03, 2019",35.79,37.1,37.34,35.4
"Jun 04, 2019",38.72,36.22,38.8,35.92
"Jun 05, 2019",39.32,39.74,40.26,38.37
"Jun 06, 2019",41.19,40.89,42.2,40.36
"Jun 07, 2019",40.9,41,42.17,40.7
"Jun 10, 2019",42.58,42.05,43.39,41.8
"Jun 11, 2019",43.42,43.83,44.18,42.7
"Jun 12, 2019",41.85,44.59,44.68,41.8
"Jun 13, 2019",42.78,42.08,42.98,41.5
"Jun 14, 2019",42.98,42.25,43.33,42.08
"Jun 17, 2019",45.01,43.1,45.4,42.85
"Jun 18, 2019",44.95,45.74,46.95,44.51
"Jun 19, 2019",45.29,45.02,45.55,44.21
"Jun 20, 2019",43.92,44.6,45.38,43.27
"Jun 21, 2019",44.37,43.24,44.44,43.1
"Jun 24, 2019",44.73,44.65,45.17,44.2
"Jun 25, 2019",43.95,44.88,45.07,43.9
"Jun 26, 2019",43.85,44.06,45.45,43.62
"Jun 27, 2019",44.57,43.89,44.58,43.47
"Jun 28, 2019",44.69,44.2,45.03,44.16
"Jul 01, 2019",45.43,46.04,46.62,45.26
"Jul 02, 2019",44.91,45.78,45.83,44.44
"Jul 03, 2019",46.98,47.88,48.31,46.9
"Jul 05, 2019",46.62,46.91,47.09,46.16
"Jul 08, 2019",46.07,46.25,46.45,45.73
"Jul 09, 2019",46.01,45.79,46.2,45.46
"Jul 10, 2019",47.78,46.83,47.79,46.63
"Jul 11, 2019",47.72,47.63,48.3,47.16
"Jul 12, 2019",49.02,47.95,49.08,47.94
"Jul 15, 2019",50.7,49.6,50.88,48.97
"Jul 16, 2019",50.48,49.86,50.71,49.59
"Jul 17, 2019",50.97,51.13,51.66,50.67
"Jul 18, 2019",50.71,51.01,51.15,50.38
"Jul 19, 2019",51.64,51.14,51.99,50.92
"Jul 22, 2019",51.14,51.75,52.43,50.84
"Jul 23, 2019",52.03,51.34,52.1,50.9
"Jul 24, 2019",52.98,51.83,53.21,51.63
"Jul 25, 2019",45.76,46.7,46.9,45.11
"Jul 26, 2019",45.61,45.38,46.05,44.45
"Jul 29, 2019",47.15,45.42,47.19,45.21
"Jul 30, 2019",48.45,46.58,48.67,46.44
"Jul 31, 2019",48.32,48.6,49.34,47.33
"Aug 01, 2019",46.77,48.53,48.9,46.35
"Aug 02, 2019",46.87,46.27,47.25,45.85
"Aug 05, 2019",45.66,45.92,46.27,45.16
"Aug 06, 2019",46.15,46.38,46.5,45.15
"Aug 07, 2019",46.68,45.3,46.71,45.16
"Aug 08, 2019",47.66,46.89,47.96,46.53
"Aug 09, 2019",47,47.21,47.79,46.76
"Aug 12, 2019",45.8,46.6,47.15,45.75
"Aug 13, 2019",47,45.76,47.2,45.51
"Aug 14, 2019",43.92,46.24,46.3,43.34
"Aug 15, 2019",43.13,44.17,44.31,42.31
"Aug 16, 2019",43.99,43.33,44.45,43.2
"Aug 19, 2019",45.37,44.84,45.57,44.34
"Aug 20, 2019",45.17,45.52,45.82,44.91
"Aug 21, 2019",44.17,44.4,44.64,43.52
"Aug 22, 2019",44.43,44.56,45.08,43.64
"Aug 23, 2019",42.28,43.99,44.23,42.2
"Aug 26, 2019",43,42.72,43,42.31
"Aug 27, 2019",42.82,43.15,43.76,42.41
"Aug 28, 2019",43.12,42.74,43.45,42.46
"Aug 29, 2019",44.34,43.8,44.68,43.6
"Aug 30, 2019",45.12,45.83,46.49,44.84
"Sep 03, 2019",45,44.82,45.79,44.63
"Sep 04, 2019",44.14,45.38,45.69,43.84
"Sep 05, 2019",45.92,44.5,45.96,44.17
"Sep 06, 2019",45.49,45.44,45.93,45.03
"Sep 09, 2019",46.36,46,46.75,45.85
"Sep 10, 2019",47.11,46.16,47.11,45.79
"Sep 11, 2019",49.42,47.48,49.63,47.2
"Sep 12, 2019",49.17,49.54,50.7,48.88
"Sep 13, 2019",49.04,49.39,49.69,48.97
"Sep 16, 2019",48.56,49.2,49.49,48.23
"Sep 17, 2019",48.96,48.49,49.12,48.07
"Sep 18, 2019",48.7,49,49.63,48.47
"Sep 19, 2019",49.32,49.2,49.59,48.97
"Sep 20, 2019",48.12,49.3,49.39,47.63
"Sep 23, 2019",48.25,48,49.04,47.84
"Sep 24, 2019",44.64,48.3,48.4,44.52
"Sep 25, 2019",45.74,44.91,45.8,43.67
"Sep 26, 2019",48.51,46.13,48.66,45.48
"Sep 27, 2019",48.43,48.44,49.74,47.75
"Sep 30, 2019",48.17,48.6,48.8,47.22
"Oct 01, 2019",48.94,48.3,49.19,47.83
"Oct 02, 2019",48.63,48.66,48.93,47.89
"Oct 03, 2019",46.61,46.37,46.9,44.86
"Oct 04, 2019",46.29,46.32,46.96,45.61
"Oct 07, 2019",47.54,45.96,47.71,45.71
"Oct 08, 2019",48.01,47.17,48.79,46.9
"Oct 09, 2019",48.91,48.26,49.46,48.13
"Oct 10, 2019",48.95,49.06,49.86,48.32
"Oct 11, 2019",49.58,49.43,50.22,49.36
"Oct 14, 2019",51.39,49.58,51.71,49.43
"Oct 15, 2019",51.58,51.54,52,50.82
"Oct 16, 2019",51.95,51.48,52.42,51.38
"Oct 17, 2019",52.39,52.5,52.96,52.03
"Oct 18, 2019",51.39,52.14,52.56,51.02
"Oct 21, 2019",50.7,51.67,51.9,50.04
"Oct 22, 2019",51.12,50.86,51.67,50.17
"Oct 23, 2019",50.94,50.9,51.23,50.27
"Oct 24, 2019",59.94,59.67,60.99,57.84
"Oct 25, 2019",65.63,59.54,66,59.22
"Oct 28, 2019",65.54,65.51,68.17,64.52
"Oct 29, 2019",63.24,64,64.86,62.95
"Oct 30, 2019",63,62.6,63.76,61.99
"Oct 31, 2019",62.98,62.62,63.8,62.6
"Nov 01, 2019",62.66,63.26,63.3,61.96
"Nov 04, 2019",63.49,62.96,64.39,61.85
"Nov 05, 2019",63.44,63.92,64.7,63.22
"Nov 06, 2019",65.32,63.6,65.34,62.9
"Nov 07, 2019",67.11,65.83,68.3,65.6
"Nov 08, 2019",67.43,66.9,67.49,66.5
"Nov 11, 2019",69.02,68.79,69.84,68.4
"Nov 12, 2019",69.99,69.38,70.07,68.81
"Nov 13, 2019",69.22,71,71.27,69.04
"Nov 14, 2019",69.87,69.22,70.77,68.58
"Nov 15, 2019",70.43,70.13,70.56,69.67
